Gene ID,FC pC vs H,FC pC vs HpC,FC HpC vs H,Gene Symbol,,pC1,pC2,pC3,H1,H2,H3,HpC1,HpC2,HpC3,HpC4
329628,13.846006,4.3573623,3.177612,Fat4,,1.9284387,2.5804334,1.2452846,-1.6084437,-2.4291325,-1.5824614,0.20215654,-1.023768,-0.016497135,0.016497135
319951,55.039204,17.33092,3.1757808,A230001M10Rik,,4.569524,3.53368,3.5088344,-0.85086393,-3.7019691,-1.1822922,0.13118339,-1.1095722,0.043748617,-0.043748617
229658,3.600422,1.133761,3.1756444,Vangl1,,0.5179939,0.18380642,0.2651968,-1.8106813,-1.4784098,-1.2884097,-0.20419979,0.76906204,0.10540295,-0.10540199
142980,4.8744736,1.5375605,3.1702647,Tlr3,,0.74361897,0.41341496,0.4388361,-1.814856,-1.6012921,-1.8437214,-0.5152154,-0.03523588,0.03523636,0.16046906
17119,2.6575599,-1.1926217,3.1694639,Mxd1,,-0.3015976,0.5360241,0.31956196,-1.4999042,-0.99452114,-1.1818929,0.061976433,1.1599083,-0.061976433,0.59528923
382985,4.1378784,1.3057557,3.168953,Rrm2b,,0.21896553,0.54210854,0.25344658,-1.9968171,-1.6154704,-1.5198655,0.11192703,-0.36458683,-0.11192703,0.17774105
75485,3.4651928,1.0936979,3.168327,1700010B08Rik,,-0.34071398,1.0875375,0.33130407,-1.6489533,-1.2238855,-1.4278405,0.14866948,-0.14866948,0.38316274,0.53748345
13052,4.0884595,1.290861,3.1672347,Cxadr,,0.68624973,0.31589985,0.206954,-1.9423332,-1.4109325,-1.5323029,-0.11954212,-0.1608696,0.29967308,0.11954212
381175,3.604016,1.1380264,3.1669004,Ccdc68,,0.21548271,0.32895184,-0.007995606,-1.6315594,-1.5483546,-1.8324633,0.25846672,-0.7229223,0.007995606,0.4255762
19049,26.49966,8.369914,3.1660614,Ppp1r1b,,3.1453137,4.125817,1.727056,-1.8328509,-1.9655609,-1.3871074,0.59154606,-0.854815,-0.5878887,0.5878887
22793,3.9611752,1.251487,3.165175,Zyx,,0.16419601,0.20303535,0.36486626,-1.656414,-1.7119322,-1.8573418,-0.5831089,0.05822754,0.26466465,-0.058226585
215708,4.8626857,1.5367343,3.1642983,Fam73a,,0.33903885,0.7956648,0.95920086,-1.694809,-1.0042124,-2.0523343,0.733551,-0.4211483,-0.3347845,0.33478355
226251,3.1384864,-1.0080371,3.1637106,Ablim1,,0.210042,-0.024025917,0.029717445,-1.5082064,-1.6591654,-1.5671015,-0.36192894,0.5401468,0.024024963,0.13159657
54446,3.084111,-1.024523,3.1597426,Nfat5,,0.08012676,0.22045898,0.10256386,-1.4248924,-1.6935358,-1.3529863,-0.08012676,-0.17713642,0.4166088,0.5179968
108699,3.5545082,1.1262227,3.1561325,Chn1,,0.8074908,0.04331398,0.12199974,-1.8822174,-1.2727251,-1.3612027,0.5773635,-0.49588585,0.5729399,-0.043313503
217588,3.2841516,1.0406767,3.1557848,Mbip,,0.13362885,0.39493322,-0.13362932,-1.485568,-1.3235345,-1.9425268,0.15754461,-0.24831867,0.18075418,0.20650911
13433,3.5398614,1.1223036,3.1541033,Dnmt1,,0.55876637,0.1241827,0.17909908,-1.4963808,-1.6888981,-1.4237518,-0.34072304,0.67919636,0.26925373,-0.12418175
78088,4.5419097,1.4417044,3.1503751,Sowahb,,0.36188412,0.6883764,0.60764027,-2.1103659,-1.2560635,-1.525567,-0.33256721,-0.34210968,0.44154358,0.33256626
17085,6.0527015,1.9225171,3.1483216,Ly9,,0.9284651,1.415838,0.58959484,-2.0496256,-1.3026297,-1.5065846,-0.9300747,0.03562069,1.0699532,-0.03562069
242669,2.9021068,-1.0834625,3.1443238,Adc,,0.0987978,-0.012952328,0.46106577,-1.2877512,-0.8233423,-1.9532969,0.7059536,-0.02285099,0.012952328,0.4957571
194219,3.916066,1.2457777,3.1434708,Slfnl1,,0.6443386,0.13171148,0.4209454,-2.3337522,-0.5867562,-1.7907112,-0.21420121,0.16653156,-0.13171124,0.5071881
19377,3.3890932,1.0787218,3.1417675,Rai1,,0.3706112,0.036089897,0.21300602,-1.6533775,-1.7036648,-1.3059483,-0.27900982,-0.036088943,0.3691206,0.33496284
381628,6.1788707,1.9674414,3.1405613,Gpr113,,0.91683066,1.0271338,1.5658873,-1.5758333,-0.8288375,-1.967507,-0.4562825,-0.49058712,0.4562825,1.2651068
330031,4.5726337,1.4583725,3.135436,Gm5106,,0.5674393,-0.07216978,1.2115531,-1.1161697,-2.2760644,-1.4800193,0.40634584,0.07217002,-0.53151274,0.15132332
60363,1.7995253,-1.736388,3.1246738,Cldn15,,0.3086648,-0.66229105,-0.026533604,-0.9298153,-1.0759044,-0.91728926,1.0336161,0.026533127,0.94875526,0.6685729
104263,3.3006394,1.0563706,3.124509,Kdm3a,,-0.07656956,0.38652802,0.26151848,-1.6248255,-1.5422268,-1.4297075,-0.28779793,0.21332741,0.07656956,0.4434061
65099,3.5661862,1.1422323,3.12212,Irak1bp1,,0.8237748,0.3984108,-0.21827841,-1.1713896,-1.9218931,-1.4059563,0.59201765,-0.47470856,0.21827888,0.23553038
56631,3.6736925,1.1770856,3.1210072,Trim17,,0.97151375,0.7438488,-0.3429222,-1.9232488,-1.0553317,-1.2806721,0.5222535,0.39143896,-0.36757088,0.34292173
17210,4.3778286,1.4027013,3.1209984,Mcl1,,0.37965107,0.6398058,0.36348915,-1.8655205,-1.6364174,-1.5057621,-0.18113041,0.07222748,0.008347511,-0.008347511
18806,3.2506785,1.0415856,3.1208944,Pld2,,0.061989784,0.1420021,0.055480003,-1.7039542,-1.5537424,-1.5850544,-0.06502533,0.12037563,-0.055480003,0.11096668
71790,12.462032,3.9939594,3.1202202,Anxa9,,2.754723,1.5937886,1.8586187,-0.6981392,-1.5361061,-2.4770267,-0.31555414,0.6004491,0.13444519,-0.13444519
29819,3.6729233,1.1772362,3.1199546,Stau2,,0.08441734,0.2646122,0.03875065,-1.6484504,-2.4250164,-1.1695395,-0.03875065,-0.48850632,0.051574707,0.051107407
66441,2.723182,-1.1442013,3.1158683,Magohb,,0.28902102,0.039428234,-0.13231182,-2.05164,-0.9420738,-1.146029,0.34801865,0.44864368,0.28164577,-0.039428234
240442,3.7348862,1.1994123,3.1139302,Adnp2,,0.32835293,0.3094635,0.23502445,-1.6690354,-1.530849,-1.6304674,-0.066594124,0.21452808,-0.100050926,0.066594124
244579,7.031599,2.2596617,3.111793,Tox3,,1.1992426,1.5994635,0.44925213,-1.8529334,-1.907392,-1.4332752,-0.1249609,-0.5284996,0.12496185,0.15468216
17886,2.517665,-1.2346787,3.1085074,Myh9,,0.16294765,-0.19372177,0.056750298,-1.5442314,-1.1663694,-1.2596817,-0.056750298,0.43876076,0.66278076,0.20638657
327655,3.3500218,1.0778434,3.1080782,Ppip5k1,,0.09051895,0.30383682,0.123913765,-1.010479,-1.9063559,-1.7974072,-0.09051895,0.44977474,-0.1919241,0.091103554
70584,2.7329893,-1.1371498,3.1078184,Pak4,,0.058397293,0.13976765,-0.058397293,-1.4709263,-1.4371634,-1.3035822,-0.06898117,0.6605921,0.23240662,0.1040287
69707,2.9307137,-1.059346,3.1046398,Iqcg,,0.35661936,0.1366086,-0.03520918,-1.4836526,-1.385582,-1.3265028,0.03520918,-0.17181396,0.43736792,0.6426239
21933,3.1025198,1.0036362,3.0912793,Tnfrsf10b,,0.05983448,-0.05983448,0.73488235,-1.2668843,-1.4095159,-1.4890385,-0.31162548,0.061779976,0.735425,0.4733181
21917,2.8776069,-1.0729883,3.0876384,Tmpo,,0.23497295,0.054208755,-0.054208755,-1.261159,-1.5511265,-1.5273504,-0.36338997,0.8441267,0.18443966,0.054657936
226866,7.019595,2.273953,3.086957,Sbspon,,1.4538779,1.2447176,0.70415163,-2.0342708,-0.9653468,-2.0317981,-0.1777544,-0.701097,0.1777544,0.49728394
230514,3.714967,1.2047408,3.0836234,Leprot,,0.69266796,0.2954378,-0.06723213,-2.132378,-1.0374594,-1.5893373,0.2373991,0.091695786,0.067231655,-0.24338627
100504467,9.080427,2.9510143,3.077053,Gm16596,,1.209029,1.375881,1.7969153,-1.0492992,-3.0259354,-1.0912209,-0.052578688,-0.55637145,0.1539619,0.052578688
446101,4.127712,1.3421519,3.0754428,Xrra1,,0.24738216,0.5239625,0.67779875,-1.9233537,-2.1905715,-0.57295775,0.28365993,-0.33284235,-0.24738169,0.53056335
208449,2.495114,-1.2310208,3.0715373,Sgms1,,0.018008232,0.006302834,0.16896725,-1.5321212,-0.9990463,-1.2328715,-0.09003067,1.3547239,0.19873428,-0.006302834
55990,5.7617397,1.8775128,3.0688155,Fmo2,,1.1254272,1.1661062,0.19905186,-2.348256,-0.85861874,-1.8820534,0.31527328,-0.8233652,-0.19905186,0.39263344
